ranks,channel_info,influence_score,total_post,followers_clean,avg_likes_clean,60_eng_rate_clean,post_avg_like_clean,total_likes_clean,country
1,cristiano,92,3300,475800000,475800000,0.000139,6500000,29000000000,Spain
2,kyliejenner,91,6900,366200000,366200000,0.000162,5900000,57400000000,United States
3,leomessi,90,890,357300000,357300000,0.000124,4400000,6000000000,Unknown
4,selenagomez,93,1800,342700000,342700000,0.000097,3300000,11500000000,United States
5,therock,91,6800,334100000,334100000,0.00002,665300,12500000000,United States
6,kimkardashian,91,5600,329200000,329200000,0.000088,2900000,19900000000,United States
7,arianagrande,92,5000,327700000,327700000,0.00012,3900000,18400000000,United States
8,beyonce,92,2000,272800000,272800000,0.000076,2000000,7400000000,United States
9,khloekardashian,89,4100,268300000,268300000,0.000035,926900,9800000000,United States
10,justinbieber,91,7400,254500000,254500000,0.000059,1500000,13900000000,Canada
11,kendalljenner,90,660,254000000,254000000,0.000204,5100000,3700000000,United States
12,natgeo,91,10000,237000000,237000000,0.000007,159300,3000000000,United States
13,nike,90,950,234100000,234100000,0.000008,181800,313600000,United States
14,taylorswift,91,530,222200000,222200000,0.000101,2300000,1300000000,United States
15,jlo,89,3200,220400000,220400000,0.000062,1400000,5300000000,United States
16,virat.kohli,87,1400,211800000,211800000,0.000096,2000000,4900000000,Unknown
17,nickiminaj,90,6400,201600000,201600000,0.000053,1000000,13500000000,United States
18,kourtneykardash,89,4400,195200000,195200000,0.000067,1300000,7700000000,United States
19,mileycyrus,89,1200,181500000,181500000,0.000051,913600,1600000000,Unknown
20,neymarjr,90,5300,177100000,177100000,0.000109,1900000,14100000000,Brazil
21,katyperry,92,2000,170300000,170300000,0.000016,265100,1500000000,Unknown
22,kevinhart4real,88,8200,152000000,152000000,0.000008,115200,4300000000,United States
23,zendaya,87,3500,150700000,150700000,0.000317,4800000,20600000000,United States
24,iamcardib,75,1600,140500000,140500000,0.00011,1500000,5000000000,United States
25,ddlovato,88,80,139100000,139100000,0.000027,363400,91300000,United States
26,badgalriri,88,4800,135300000,135300000,0.000002,FALSE,17900000000,United States
27,kingjames,86,2300,130900000,130900000,0.000092,1200000,4900000000,Unknown
28,theellenshow,87,10000,125100000,125100000,0.000007,81700,4200000000,United States
29,realmadrid,90,6900,123400000,123400000,0.000048,588300,6800000000,Spain
30,champagnepapi,85,5200,119600000,119600000,0.00011,1300000,9000000000,Netherlands
31,chrisbrownofficial,86,7300,118500000,118500000,0.000022,255900,3400000000,United States
32,fcbarcelona,90,10000,111400000,111400000,0.000064,706300,11600000000,Unknown
33,billieeilish,73,690,105200000,105200000,0.000502,5200000,5900000000,Unknown
34,dualipa,74,1300,85900000,85900000,0.000126,1100000,2600000000,United Kingdom
35,gal_gadot,85,1700,85600000,85600000,0.000069,586500,2300000000,United States
36,vindiesel,88,1800,82300000,82300000,0.00006,482300,2500000000,United States
37,nasa,88,3600,81300000,81300000,0.000153,1200000,4200000000,United States
38,priyankachopra,85,3600,81100000,81100000,0.0001,802900,5600000000,United States
39,lalalalisa_m,70,870,80900000,80900000,0.0009,7200000,5100000000,Unknown
40,Shakira,88,2000,76100000,76100000,0.000041,304700,1900000000,Unknown
41,snoopdogg,86,10000,75300000,75300000,0.000017,125800,2000000000,Unknown
42,gigihadid,85,3300,75300000,75300000,0.000256,1900000,8200000000,United States
43,davidbeckham,86,1500,74900000,74900000,0.000046,340900,1900000000,United States
44,shraddhakapoor,81,1900,73900000,73900000,0.000117,859900,3000000000,Unknown
45,victoriassecret,88,2900,73200000,73200000,0.000004,29800,423500000,United States
46,k.mbappe,86,1200,72700000,72700000,0.000216,1600000,2800000000,Unknown
47,nehakakkar,84,2300,70400000,70400000,0.000054,370100,3500000000,India
48,nba,87,12900,70100000,70100000,0.000028,196900,4800000000,United States
49,shawnmendes,83,2500,69900000,69900000,0.000287,2000000,8800000000,Canada
50,jennierubyjane,76,860,68900000,68900000,0.000836,5700000,4400000000,Unknown
51,narendramodi,85,540,68900000,68900000,0.000301,2000000,1600000000,India
52,aliaabhatt,82,1800,68700000,68700000,0.000314,2100000,3300000000,India
53,deepikapadukone,83,260,68400000,68400000,0.000223,1500000,419000000,India
54,tomholland2013,77,1200,67700000,67700000,0.001083,7300000,6600000000,Unknown
55,ronaldinho,78,2900,67700000,67700000,0.000049,325700,2600000000,Brazil
56,emmawatson,87,340,67300000,67300000,0.000001,FALSE,639000000,United States
57,bts.bighitofficial,78,1200,66900000,66900000,0.00054,3600000,4900000000,Uruguay
58,katrinakaif,85,1000,66300000,66300000,0.000225,1500000,1700000000,India
59,marvel,82,7000,66200000,66200000,0.000051,339000,2300000000,Turkey
60,justintimberlake,87,780,65900000,65900000,0.00003,189400,470700000,United States
61,camila_cabello,77,2900,65000000,65000000,0.000219,1400000,5400000000,United States
62,willsmith,82,1400,63900000,63900000,0.000002,FALSE,1900000000,United States
63,raffinagita1717,83,17500,63500000,63500000,0.000058,366600,6800000000,Indonesia
64,anitta,82,5100,63100000,63100000,0.000069,426200,4400000000,United States
65,sooyaaa__,82,830,62900000,62900000,0.000943,5900000,3800000000,Unknown
66,maluma,84,8200,62800000,62800000,0.000112,696300,9800000000,Colombia
67,akshaykumar,85,1900,62800000,62800000,0.000101,624900,2900000000,Unknown
68,jacquelinef143,85,2400,62700000,62700000,0.000115,718800,2800000000,India
69,psg,86,10000,61900000,61900000,0.000052,322200,5000000000,France
70,roses_are_rosie,82,820,61800000,61800000,0.000972,6000000,3800000000,Unknown
71,manchesterunited,85,9900,59600000,59600000,0.000041,241600,3800000000,United Kingdom
72,anushkasharma,85,1200,59500000,59500000,0.000234,1400000,2200000000,Unknown
73,whinderssonnunes,79,2700,58700000,58700000,0.000058,323100,4400000000,Brazil
74,9gag,86,10000,58100000,58100000,0.000044,248600,6700000000,United States
75,marcelotwelve,86,2700,58100000,58100000,0.000078,448300,1900000000,Brazil
76,milliebobbybrown,80,280,57600000,57600000,0.000863,5000000,1100000000,United States
77,karimbenzema,42,2000,56900000,56900000,0.000162,918900,1800000000,Spain
78,chrishemsworth,86,880,55900000,55900000,0.000369,2100000,2500000000,Australia
79,karolg,83,3300,55600000,55600000,0.001025,5700000,10100000000,India
80,paulpogba,80,1300,55200000,55200000,0.000085,462600,1800000000,France
81,iamzlatanibrahimovic,86,870,55100000,55100000,0.000153,837100,1300000000,Unknown
82,leonardodicaprio,86,1700,54600000,54600000,0.00002,107600,669300000,Unknown
83,juventus,87,10000,54500000,54500000,0.000025,135500,1900000000,Unknown
84,zacefron,86,660,54500000,54500000,0.000818,4400000,1500000000,United States
85,bellahadid,79,3200,54100000,54100000,0.000206,1100000,3600000000,United Kingdom
86,tatawerneck,86,5600,53900000,53900000,0.000051,266500,5400000000,Brazil
87,beingsalmankhan,76,1200,53500000,53500000,0.000133,693900,1600000000,India
88,robertdowneyjr,86,420,53400000,53400000,0.000205,1100000,1300000000,United States
89,sunnyleone,84,4600,53400000,53400000,0.000057,301300,3500000000,Unknown
90,ladygaga,83,3600,53200000,53200000,0.000102,531600,5100000000,United States
91,dishapatani,74,2100,53000000,53000000,0.000185,971700,3400000000,United States
92,sergioramos,87,2200,52800000,52800000,0.000106,557900,2500000000,Unknown
93,jbalvin,87,10000,52800000,52800000,0.000066,340500,8800000000,Unknown
94,mosalah,22,840,52500000,52500000,0.000218,1100000,1500000000,Unknown
95,ayutingting92,85,10000,52400000,52400000,0.000011,56300,1500000000,Indonesia
96,433,79,10300,51200000,51200000,0.000152,774200,8900000000,Netherlands
97,hudabeauty,82,2400,50800000,50800000,0.000004,16800,453600000,United States
98,adele,84,420,50700000,50700000,0.000382,1900000,2000000000,United States
99,michelleobama,85,600,50700000,50700000,0.000122,611200,421700000,Unknown
100,kritisanon,76,2700,50200000,50200000,0.000121,604400,2400000000,India
101,jamesrodriguez10,86,1100,49900000,49900000,0.000075,363900,1500000000,Colombia
102,krisjenner,80,6400,49700000,49700000,0.000091,452900,2300000000,United States
103,thv,83,60,49300000,49300000,0.00258,12600000,987400000,Unknown
104,lelepons,81,2500,49200000,49200000,0.000355,1700000,6100000000,United States
105,charlidamelio,80,150,49100000,49100000,0.000328,1600000,654400000,Unknown
106,gucci,86,8900,49000000,49000000,0.000015,72400,1000000000,Italy
107,prillylatuconsina96,84,6500,48900000,48900000,0.000027,131800,2400000000,Indonesia
108,louisvuitton,82,6500,48700000,48700000,0.000008,40500,824000000,France
109,paulodybala,85,1300,48300000,48300000,0.000288,1400000,2300000000,Unknown
110,blackpinkofficial,85,1400,48200000,48200000,0.000277,1300000,3000000000,Unknown
111,dovecameron,85,170,48200000,48200000,0.000175,841400,283000000,United States
112,garethbale11,86,980,48100000,48100000,0.000143,681300,753100000,Unknown
113,jokowi,85,3500,47700000,47700000,0.000041,189600,1600000000,Unknown
114,nusr_et,81,2300,47300000,47300000,0.000029,133000,1700000000,United Arab Emirates
115,harrystyles,57,590,46900000,46900000,0.000638,2900000,2800000000,United States
116,haileybieber,85,2100,46900000,46900000,0.000347,1600000,4200000000,Unknown
117,vanessahudgens,84,4200,46800000,46800000,0.000063,292900,2700000000,United States
118,5-Minute Crafts GIRLY,85,10000,46500000,46500000,0.000003,12400,1600000000,United States
119,zayn,82,160,46500000,46500000,0.000881,4000000,773500000,United States
120,larissamanoela,85,5200,46500000,46500000,0.000057,259400,3000000000,Brazil
121,travisscott,78,3200,46200000,46200000,0.000571,2600000,9600000000,United States
122,thenotoriousmma,82,3200,45900000,45900000,0.000069,311500,3500000000,United States
123,daddyyankee,80,20,45900000,45900000,0.0001,455300,18300000,Puerto Rico
124,natgeotravel,82,16900,45800000,45800000,0.000012,52800,3200000000,United States
125,nikefootball,85,1800,45400000,45400000,0.000044,199800,784000000,United States
126,stephencurry30,84,1100,45400000,45400000,0.000276,1200000,1200000000,Unknown
127,vancityreynolds,86,680,44800000,44800000,0.000261,1200000,925700000,Unknown
128,maisa,42,1500,44500000,44500000,0.000067,294100,820100000,Brazil
129,luissuarez9,85,970,44200000,44200000,0.000096,414800,782500000,Unknown
130,gusttavolima,76,4900,43900000,43900000,0.000071,303900,2300000000,Brazil
131,jannatzubair29,84,1600,43800000,43800000,0.000218,944300,2200000000,Unknown
132,varundvn,84,1900,43800000,43800000,0.000148,640500,2000000000,India
133,hrithikroshan,85,580,43700000,43700000,0.000382,1600000,949900000,C??te d'Ivoire
134,nickyjampr,81,10000,43400000,43400000,0.000033,139300,3800000000,Colombia
135,buzzfeedtasty,85,8900,43200000,43200000,0.000002,7700,580700000,Spain
136,brunamarquezine,84,3000,43100000,43100000,0.000105,444200,2900000000,United States
137,caradelevingne,86,4400,42900000,42900000,0.000043,181000,3500000000,United States
138,kapilsharma,83,950,42200000,42200000,0.000149,624500,710700000,Unknown
139,badbunnypr,83,10,42100000,42100000,0.001309,5400000,67500000,Unknown
140,britneyspears,80,3000,42100000,42100000,0.000055,221700,1600000000,Turkey
141,j.m,83,20,41900000,41900000,0.002641,11000000,368100000,Unknown
142,mariliamendoncacantora,73,1400,41800000,41800000,0.000198,818600,1500000000,Brazil
143,norafatehi,83,1700,41600000,41600000,0.000176,727500,2300000000,Anguilla
144,theweeknd,83,670,41500000,41500000,0.000397,1600000,767000000,Unknown
145,dior,85,9700,41500000,41500000,0.000016,63600,863000000,Unknown
146,ranveersingh,85,1800,40800000,40800000,0.000076,299300,1800000000,Switzerland
147,marinaruybarbosa,81,2100,40700000,40700000,0.000001,FALSE,1200000000,Brazil
148,jenniferaniston,85,90,40700000,40700000,0.000188,731000,452000000,Unknown
149,addisonraee,85,300,40100000,40100000,0.000249,994400,957900000,Unknown
150,andresiniesta8,85,2000,40000000,40000000,0.000041,161700,500500000,Spain
151,princessyahrini,81,4500,40000000,40000000,0.000022,87400,529900000,Indonesia
152,liverpoolfc,75,10000,39900000,39900000,0.000042,162900,3500000000,United Kingdom
153,teddysphotos,80,2300,39900000,39900000,0.000046,181100,1700000000,United States
154,worldstar,78,11600,39200000,39200000,0.000023,84400,1800000000,United States
155,natashawilona12,84,1200,39200000,39200000,0.000059,227700,563900000,Unknown
156,mahi7781,58,100,39100000,39100000,0.000017,FALSE,439400000,Unknown
157,georginagio,74,730,39100000,39100000,0.000856,3300000,1600000000,Unknown
158,cznburak,80,1800,39000000,39000000,0.000101,383300,1400000000,Unknown
159,chrissyteigen,79,5100,38900000,38900000,0.000043,162100,3200000000,United States
160,ruben_onsu,75,13400,38800000,38800000,0.000013,49100,1900000000,Indonesia
161,wizkhalifa,80,500,38700000,38700000,0.000031,115700,199800000,United States
162,hm,83,7300,38500000,38500000,0.000006,22400,644100000,Sweden
163,anushkasen0408,85,5300,38300000,38300000,0.000175,658300,3700000000,Unknown
164,prattprattpratt,84,730,38300000,38300000,0.0001,363800,594700000,Unknown
165,marvelstudios,83,2700,38100000,38100000,0.000158,555900,1600000000,Unknown
166,wesleysafadao,80,8900,37400000,37400000,0.000002,FALSE,2300000000,Unknown
167,parineetichopra,84,1300,37400000,37400000,0.000068,246900,672100000,Unknown
168,rkive,83,110,37000000,37000000,#VALUE!,FALSE,1200000000,Unknown
169,laudyacynthiabella,76,380,36900000,36900000,0.000012,43400,66700000,Indonesia
170,antogriezmann,83,870,36500000,36500000,0.000057,203600,955400000,France
171,gisel_la,85,9900,36500000,36500000,0.00001,33400,1500000000,Unknown
172,eminem,84,660,36400000,36400000,0.000269,962700,730100000,United States
173,mercedesbenz,77,10000,36000000,36000000,0.000018,64600,2000000000,British Virgin Islands
174,colesprouse,81,1200,35900000,35900000,0.000234,834500,2600000000,Unknown
175,nattinatasha,47,30,35900000,35900000,0.00008,285900,18700000,Czech Republic
176,shahidkapoor,82,1100,35600000,35600000,0.000254,780000,1500000000,Unknown
177,tigerjackieshroff,83,2100,35600000,35600000,0.00012,422900,2200000000,India
178,kimberly.loaiza,78,590,35500000,35500000,0.000523,1800000,1600000000,Mexico
179,barackobama,81,660,35400000,35400000,0.000119,411500,739500000,United States
180,sachintendulkar,76,1000,35300000,35300000,0.000203,664500,810000000,Unknown
181,simonemendes,72,4400,35000000,35000000,0.000065,222900,1900000000,Brazil
182,ivetesangalo,84,7600,34800000,34800000,0.000036,121100,1700000000,Brazil
183,lunamaya,83,4100,34800000,34800000,0.000017,58600,589600000,Unknown
184,toni.kr8s,83,940,34700000,34700000,0.000168,533500,561300000,Unknown
185,dannapaola,68,1900,34700000,34700000,0.000349,1200000,2800000000,Mexico
186,paollaoliveirareal,84,4600,34700000,34700000,0.000057,192300,1700000000,Unknown
187,blakelively,80,110,34600000,34600000,0.000002,FALSE,350900000,United States
188,adidasoriginals,83,150,34200000,34200000,0.00002,66800,21200000,Unknown
189,disney,77,7300,34200000,34200000,0.000044,132000,1400000000,United States
190,shaymitchell,83,6300,34100000,34100000,0.000073,247500,4600000000,United States
191,bmw,79,9300,33700000,33700000,0.000023,76500,2200000000,Germany
192,danbilzerian,84,1400,33600000,33600000,0.000358,1200000,2800000000,Canada
193,khabib_nurmagomedov,63,4500,33500000,33500000,0.000067,220700,3100000000,Russia
194,zidane,41,370,33500000,33500000,0.000161,532700,391900000,France
195,sonamkapoor,75,4800,33300000,33300000,0.000063,209200,1300000000,India
196,iambeckyg,71,2300,33200000,33200000,0.00014,464700,1400000000,United States
197,nancyajram,81,3800,33200000,33200000,0.000064,208000,1500000000,France
198,luansantana,79,770,33200000,33200000,0.000026,82600,149200000,Brazil
199,nickjonas,78,2300,33000000,33000000,0.000142,467700,1700000000,United States
200,raisa6690,80,4200,32800000,32800000,0.00003,97400,969100000,Indonesia
